# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2499
#@/user_id	1994
a 	啊	c=3 d=0.30419 t=2499
bu xing ba 	不行吧	c=1 d=0.0157644 t=2499
bu xing le 	不行了	c=0 d=0.1 t=1987
bu xu yao 	不需要	c=1 d=0.0200405 t=2499
bu yi ding 	不一定	c=1 d=1 t=1515
bu yi zhi 	不一致	c=1 d=1 t=1105
bu zheng chang 	不正常	c=1 d=0.0925506 t=2499
bu zhi dao 	不知道	c=4 d=0.347052 t=2499
bu zhu 	不住	c=0 d=0.1 t=1715
cai hui 	纔會	c=1 d=1 t=1122
cai zuo 	才做	c=1 d=1 t=1556
can shu 	參數	c=9 d=0.546074 t=2499
cang ku 	倉庫	c=1 d=1 t=1791
cao zuo 	操作	c=2 d=0.0746675 t=2499
cao zuo yi xia 	操作一下	c=1 d=0.0338776 t=2499
ce 	測	c=1 d=0.324652 t=2499
ce shi 	測試	c=5 d=2.80832 t=1886
ceng 	層	c=3 d=1.76725 t=1305
cha 	差	c=0 d=0.1 t=2281
cha jian 	插件	c=14 d=3.57911 t=2499
cha kan 	查看	c=1 d=1 t=1453
cha wan 	茶碗	c=0 d=0.1 t=2486
cha yi 	差異	c=1 d=0.045502 t=2499
cha zhuang 	茶莊	c=1 d=1 t=1004
chai cheng 	拆成	c=1 d=1 t=1180
chan sheng 	產生	c=1 d=1 t=2199
chang 	場	c=2 d=1.63763 t=2108
chang du 	長度	c=1 d=1.09501 t=1194
chang qi 	長期	c=1 d=1 t=1768
chang shi 	嘗試	c=1 d=1 t=1895
cheng 	成	c=3 d=1.00824 t=2478
cheng ben 	成本	c=1 d=1 t=1997
cheng gong 	成功	c=3 d=0.134588 t=2499
cheng xu 	程序	c=0 d=0.1 t=1135
chong fu 	重複	c=2 d=0.170868 t=2499
chong qing 	重慶	c=1 d=1 t=1635
chong tu 	衝突	c=2 d=1.97045 t=1483
chong xie 	重寫	c=1 d=0.0987662 t=2499
chou qu 	抽取	c=1 d=1 t=1902
chu 	出	c=2 d=0.092089 t=2499
chu 	楚	c=2 d=1 t=2499
chu bao 	出包	c=1 d=0.982497 t=2214
chu bao liu cheng 	出包流程	c=1 d=1 t=2215
chu bu lai 	出不來	c=1 d=1 t=1404
chu de 	出的	c=1 d=0.0263839 t=2499
chu fei 	除非	c=1 d=0.0174224 t=2499
chu lai 	出來	c=0 d=0.088692 t=2499
chu lai le 	出來了	c=0 d=0.1 t=2127
chu lai le mou 	出來了某	c=1 d=1 t=2128
chu shou 	出售	c=1 d=1 t=1170
chu xian 	出現	c=1 d=0.447088 t=2499
chu zhong 	初中	c=0 d=0.0697676 t=2499
chuan 	傳	c=0 d=0.1 t=1329
chuan gei 	傳給	c=1 d=1 t=1205
chuan ru 	傳入	c=2 d=1.52729 t=1956
chuang dian 	牀墊	c=1 d=0.0301974 t=2499
chuang jian 	創建	c=3 d=0.646993 t=2499
chun 	純	c=0 d=0.1 t=1224
chun se 	純色	c=1 d=1 t=2105
chun su zhu 	純宿主	c=2 d=1.85642 t=1256
ci ci 	此次	c=1 d=1 t=2461
cong 	從	c=4 d=1.80144 t=1953
cui 	崔	c=1 d=1 t=2089
cui ge 	崔哥	c=1 d=1 t=2090
cun zai 	存在	c=1 d=0.0755784 t=2499
cuo le 	錯了	c=1 d=0.0558548 t=2499
cuo wu 	錯誤	c=1 d=1 t=999
da 	打	c=3 d=0.166784 t=2499
da bao 	打包	c=3 d=0.874247 t=2499
da bao ming ling le 	打包命令了	c=1 d=1 t=2324
da bu jin qu 	打不進去	c=1 d=0.0735345 t=2499
da bu lai 	打不來	c=1 d=1 t=2047
da duan 	打斷	c=0 d=0.0529935 t=2499
da duan dian 	打斷點	c=1 d=0.532592 t=2499
da jian 	搭建	c=0 d=0.1 t=2230
da jian zhong 	搭建中	c=1 d=1 t=2231
da kai 	打開	c=1 d=0.822835 t=2499
da ru 	打入	c=0 d=0.00561348 t=2499
da ta 	打他	c=1 d=1 t=1915
da yin 	打印	c=4 d=1.71377 t=2441
da zhan 	大戰	c=0 d=0.0737123 t=2499
dai 	帶	c=3 d=0.63404 t=2499
dai 	待	c=1 d=1 t=2225
dai hui 	待會	c=1 d=1 t=2114
dai le 	帶了	c=0 d=0.00428521 t=2499
dai ma 	代碼	c=10 d=1.56264 t=2499
dai mao hao 	帶冒號	c=1 d=0.257947 t=2499
dan chun 	單純	c=2 d=0.0187793 t=2499
dan du 	單獨	c=1 d=0.0205478 t=2499
dan shi 	但是	c=8 d=1.03026 t=2499
dan yuan 	單元	c=3 d=1.59532 t=1424
dang qian 	當前	c=2 d=1.02399 t=2374
dao 	到	c=3 d=0.140159 t=2499
dao guo 	到過	c=0 d=0.00620385 t=2499
dao le 	到了	c=0 d=0.00699482 t=2499
dao shi 	倒是	c=1 d=0.628135 t=2499
dao shi hou 	到時候	c=1 d=0.214381 t=2499
dao ti 	道題	c=1 d=1 t=1313
dao yi ge 	到一個	c=1 d=1 t=1613
dao zhi 	導致	c=2 d=0.292293 t=2499
de 	的	c=122 d=13.2391 t=2499
de bing 	得病	c=0 d=0.1 t=1582
de guo cheng 	的過程	c=1 d=1 t=1292
de hua 	的話	c=2 d=0.192653 t=2499
de kou yin 	的口音	c=1 d=1 t=2254
de ya 	的呀	c=1 d=1 t=1711
de yan se 	的顏色	c=0 d=0.0752014 t=2499
dei 	得	c=0 d=0.00177743 t=2499
dei dao 	得到	c=1 d=0.873716 t=2499
dei kan 	得看	c=1 d=0.0219278 t=2499
deng 	等	c=4 d=2.55461 t=2363
deng xia 	等下	c=1 d=1 t=1444
di er ci 	第二次	c=2 d=0.128735 t=2499
di si tiao 	第四條	c=1 d=1 t=2424
di yi bu 	第一步	c=1 d=1 t=2122
di yi ci 	第一次	c=2 d=0.155055 t=2499
dian 	點	c=1 d=0.962362 t=2499
dian ji 	點擊	c=0 d=0.1 t=1537
dian ji shi jian 	點擊事件	c=1 d=1 t=1538
dian nao 	電腦	c=1 d=0.0478762 t=2499
dian zi 	墊子	c=1 d=0.0323869 t=2499
diao 	掉	c=1 d=1.04561 t=1951
diao yan 	調研	c=1 d=1 t=2226
diao yong 	調用	c=1 d=0.0485578 t=2499
die 	跌	c=0 d=0.0045502 t=2499
ding le 	定了	c=0 d=0.1 t=1660
ding le ma 	定了嗎	c=1 d=1 t=1661
ding zhi hua 	定製化	c=1 d=1 t=1766
dong 	動	c=0 d=0.1 t=1034
dong tai 	動態	c=3 d=1.37374 t=1959
dong xi 	東西	c=3 d=1.02541 t=2489
dou 	都	c=4 d=1.23128 t=2499
dou bu hao 	都不好	c=1 d=0.0884781 t=2499
dou bu hui 	都不會	c=0 d=0.0160414 t=2499
dou cong 	都從	c=1 d=0.0792617 t=2499
dou hui 	都會	c=1 d=0.0295994 t=2499
dou mei you 	都沒有	c=1 d=1 t=2471
dou she zhi wei 	都設置爲	c=1 d=1 t=1889
dou shi 	都是	c=4 d=0.179796 t=2499
dou yin 	抖音	c=10 d=4.20631 t=2490
dou yin wei sha 	抖音爲啥	c=1 d=1 t=2255
dou you 	都有	c=1 d=1 t=1325
dou zai 	都在	c=1 d=0.479505 t=2499
dou zai zhe 	都在這	c=1 d=0.863379 t=1789
dou zai zhe ge 	都在這個	c=1 d=1 t=1790
du 	都	c=1 d=1 t=1550
du li 	獨立	c=3 d=0.348901 t=2499
du qu 	讀取	c=2 d=1.14734 t=1937
duan 	斷	c=0 d=0.1 t=1715
duan bu zhu 	斷不住	c=1 d=1 t=1716
duan dian 	斷點	c=0 d=0.0194952 t=2499
duan dian le 	斷點了	c=1 d=0.19593 t=2499
dui 	對	c=6 d=0.975893 t=2499
dui le 	對了	c=1 d=0.547088 t=2424
dui shang 	對上	c=0 d=0.0101774 t=2499
dui ta 	對他	c=1 d=1 t=2415
dui ying 	對應	c=1 d=0.171187 t=2499
dui yu 	對於	c=1 d=1 t=1740
duo 	多	c=1 d=0.778801 t=2499
duo chu lai 	多出來	c=0 d=0.1 t=1579
duo chu lai le 	多出來了	c=1 d=1 t=1580
duo duo 	多多	c=0 d=0.1 t=1755
duo ge 	多個	c=1 d=1 t=1686
duo jiu 	多久	c=2 d=1.94176 t=1991
duo na 	多拿	c=1 d=1 t=2431
duo shao 	多少	c=3 d=0.28274 t=2499
duo xian cheng 	多線程	c=1 d=0.113608 t=2499
duo xie 	多謝	c=1 d=0.112478 t=2499
e lie 	惡劣	c=1 d=0.0328764 t=2499
e wai 	額外	c=0 d=0.1 t=2134
e wai zuo sha 	額外做啥	c=1 d=1 t=2135
en 	嗯	c=2 d=1.3588 t=1524
en 	恩	c=32 d=2.99168 t=2499
en en 	嗯嗯	c=16 d=1.68361 t=2499
en ne 	恩呢	c=1 d=0.0284388 t=2499
er 	二	c=1 d=0.054204 t=2499
er tong jie 	兒童節	c=1 d=0.0812682 t=2499
fa 	發	c=4 d=0.652348 t=2499
fa chu qu 	發出去	c=1 d=0.242926 t=2499
fa dao 	發到	c=1 d=0.0804596 t=2499
fa wo kan kan 	發我看看	c=1 d=0.0502874 t=2499
fa xian 	發現	c=3 d=0.786797 t=2499
fa xian ni gai le 	發現你改了	c=1 d=0.0720785 t=2499
fan bian yi 	反編譯	c=1 d=1 t=1243
fan er 	反而	c=0 d=0.00274607 t=2499
fan er a 	反而啊	c=1 d=0.0275983 t=2499
fan hui 	返回	c=2 d=1.87372 t=2446
fan wei 	範圍	c=1 d=0.416862 t=2499
fan yi 	翻譯	c=1 d=0.109005 t=2443
fan yi yi xia 	翻譯一下	c=1 d=1 t=2444
fan zheng 	反正	c=2 d=1.73345 t=2072
fang an 	方案	c=1 d=1 t=2163
fang mian 	方面	c=1 d=1 t=1247
fang song 	放鬆	c=1 d=1 t=1812
fang xiang 	方向	c=1 d=1 t=2497
fei diao 	廢掉	c=0 d=0.00858632 t=2499
fei diao le 	廢掉了	c=1 d=0.0862936 t=2499
fen bie 	分別	c=2 d=0.718861 t=2499
fen dan 	分擔	c=0 d=0.00642483 t=2499
fen dan gong zuo le 	分擔工作了	c=1 d=0.0645703 t=2499
fen ge 	分割	c=2 d=1.94176 t=1203
fen zhi 	分支	c=2 d=0.225872 t=2499
fu hao 	符號	c=2 d=1.03371 t=1667
fu he 	符合	c=2 d=1.68729 t=1770
fu ze 	負責	c=2 d=1.01553 t=2098
fu zhi 	複製	c=0 d=0.1 t=2208
fu zhi yi xia 	複製一下	c=1 d=1 t=2209
gai 	改	c=3 d=2.88152 t=1852
gai de 	改得	c=2 d=0.8941 t=2499
gai dong 	改動	c=0 d=0.1 t=1357
gai le 	改了	c=0 d=0.0942438 t=2499
gai wei 	改爲	c=1 d=1 t=1952
gan jin 	趕緊	c=1 d=1 t=2434
gan jue 	感覺	c=4 d=1.76733 t=2499
gan nan 	甘南	c=0 d=0.1 t=1751
gang 	剛	c=0 d=0.0173774 t=2499
gang kai shi 	剛開始	c=1 d=1 t=1760
gang sheng 	繮繩	c=0 d=0.0172907 t=2499
gang sheng ji 	剛升級	c=1 d=0.174645 t=2499
gang sheng ji wan 	繮繩幾萬	c=1 d=0.173774 t=2499
gang zai 	剛在	c=0 d=0.1 t=1306
gang zai mang 	剛在忙	c=1 d=1 t=1307
gao 	搞	c=3 d=0.839457 t=2499
gao ba 	搞吧	c=1 d=0.0173355 t=2499
gao dao 	搞到	c=0 d=0.0786628 t=2499
gao dao su zhu 	搞到宿主	c=1 d=0.790571 t=2499
gao de 	搞得	c=2 d=0.123677 t=2499
gao ding 	搞定	c=1 d=0.0136366 t=2499
gao le 	高了	c=1 d=1 t=1840
gao xia 	搞下	c=1 d=1 t=2116
gao yi ge 	搞一個	c=1 d=1.00137 t=1879
ge 	個	c=5 d=1.08351 t=2469
ge 	格	c=0 d=0.1 t=1120
ge 	歌	c=3 d=2.18887 t=2499
ge gan ge 	各幹各	c=3 d=2.98506 t=1856
ge ge 	各個	c=1 d=0.806541 t=2499
ge liao 	閣僚	c=1 d=0.88692 t=2499
ge na jiu 	歌那就	c=2 d=0.798516 t=2499
ge shu 	個數	c=1 d=1 t=1776
ge yi duan shi jian 	格一段時間	c=1 d=1 t=1121
ge yue 	個月	c=1 d=0.860708 t=2499
gei 	給	c=5 d=0.697871 t=2499
gei wo 	給我	c=1 d=1 t=2115
gen 	跟	c=1 d=1 t=2423
gen ju 	根據	c=3 d=1.51602 t=1891
gen mu lu 	根目錄	c=1 d=0.524663 t=2499
gong cheng 	工程	c=5 d=1.45758 t=2499
gong ju 	工具	c=0 d=0.0115903 t=2499
gong ju lian 	工具鏈	c=3 d=0.359629 t=2499
gong neng 	功能	c=1 d=1 t=1253
gong si 	公司	c=0 d=0.1 t=1637
gong zuo 	工作	c=1 d=0.00715796 t=2499
gou jian 	構建	c=1 d=0.0214936 t=2499
gou jian le yi ci 	構建了一次	c=1 d=1 t=1103
gou wu 	購物	c=0 d=0.1 t=1753
gu ge 	谷歌	c=3 d=0.0460772 t=2499
gu ji 	估計	c=1 d=0.865022 t=2499
guan bi 	關閉	c=4 d=0.0702346 t=2499
guang biao 	光標	c=1 d=1 t=1981
gui hua an 	規劃案	c=0 d=0.00248475 t=2499
gui nv 	閨女	c=0 d=0.1 t=1942
guo 	過	c=1 d=0.472083 t=2499
guo cheng 	過程	c=3 d=1.0215 t=2179
guo le 	過了	c=1 d=0.0231676 t=2499
guo lv 	過濾	c=1 d=0.360595 t=2499
guo nei 	國內	c=1 d=0.0197421 t=2499
guo zhi hou 	過之後	c=1 d=0.0911727 t=2499
ha 	哈	c=1 d=1 t=1037
ha ha 	哈哈	c=11 d=1.56738 t=2499
ha ha ha 	哈哈哈	c=1 d=0.683861 t=2499
ha ha ha ha 	哈哈哈哈	c=0 d=0.1 t=1470
ha ha ha ha hao 	哈哈哈哈好	c=1 d=1 t=1471
ha shi 	哈市	c=0 d=0.1 t=1903
ha shi neng 	哈市能	c=1 d=1 t=1904
hai 	海	c=2 d=0.0250972 t=2499
hai 	還	c=1 d=1 t=1579
hai hao 	還好	c=0 d=0.0481909 t=2499
hai mei 	還沒	c=0 d=0.101357 t=2499
hai mei kan 	還沒看	c=1 d=0.0599047 t=2499
hai mei xia ban 	還沒下班	c=1 d=0.985112 t=2499
hai shi 	還是	c=10 d=2.47973 t=2499
hai yao 	還要	c=1 d=1 t=2137
hai you 	還有	c=1 d=0.0566989 t=2499
hai you ma 	還有嗎	c=1 d=1 t=2094
hai zi 	孩子	c=0 d=0.1 t=1645
han shu 	函數	c=2 d=1.01485 t=1905
hang 	行	c=6 d=0.366078 t=2351
hang shu ju 	行數據	c=1 d=1 t=1930
hao 	好	c=8 d=1.61446 t=2499
hao 	號	c=1 d=1 t=2443
hao ba 	好吧	c=4 d=0.395105 t=2499
hao de 	好的	c=2 d=0.680264 t=2499
hao hao 	好好	c=1 d=1 t=1811
hao lou 	號樓	c=3 d=1.56316 t=1423
hao qi 	好奇	c=0 d=0.1 t=2252
hao xiang 	好像	c=3 d=0.183859 t=2499
he 	和	c=8 d=0.761795 t=2499
he he 	呵呵	c=1 d=0.0309618 t=2499
he li 	合理	c=0 d=0.056836 t=2499
he li lo 	合理咯	c=1 d=0.571209 t=2499
he qi lai 	合起來	c=0 d=0.0683861 t=2499
he qi lai de 	合起來的	c=1 d=0.687289 t=2499
hen cai 	很菜	c=1 d=1 t=2028
hen hao ting 	很好聽	c=1 d=0.66034 t=2499
hen you 	很有	c=1 d=0.786628 t=2499
heng 	橫	c=1 d=0.57695 t=2499
heng pai 	橫排	c=1 d=1 t=2498
hong 	紅	c=0 d=0.00420036 t=2499
hong man heng 	紅蠻橫	c=1 d=0.0422141 t=2499
hong meng 	鴻蒙	c=9 d=0.656179 t=2499
hou 	後	c=2 d=1.28224 t=1972
hou mian 	後面	c=4 d=1.04615 t=2499
hou xu 	後續	c=4 d=0.107036 t=2499
hou zhui 	後綴	c=2 d=1.01278 t=1917
hu kou 	戶口	c=1 d=1 t=1652
hu xing 	戶型	c=1 d=1 t=1169
hua 	化	c=3 d=0.0555168 t=2499
hua de 	花的	c=1 d=1 t=2049
hua le 	花了	c=0 d=0.1 t=1575
hua shuo 	話說	c=1 d=0.2334 t=2499
hua tuo 	華佗	c=1 d=0.0528657 t=2499
huai yun 	懷孕	c=1 d=0.0824965 t=2499
huan cun 	緩存	c=1 d=0.110803 t=2499
huan jing 	環境	c=3 d=2.9458 t=2237
huang jin 	黃金	c=1 d=1 t=1167
hui 	回	c=1 d=1 t=1922
hui 	會	c=3 d=0.269033 t=2499
hui ba 	會把	c=1 d=0.0800583 t=2499
hui bu hui 	會不會	c=1 d=1 t=1973
hui bu hui shi 	會不會是	c=1 d=1 t=1784
hui diao 	回調	c=1 d=1 t=1851
hui fu 	回覆	c=1 d=0.0397558 t=2499
hui jin xing 	會進行	c=1 d=1 t=1384
hui you 	會有	c=1 d=0.192054 t=2499
hui you dian 	會有點	c=1 d=0.0833256 t=2499
hui you wen ti 	會有問題	c=1 d=0.0682212 t=2499
hun xiao 	混淆	c=6 d=4.90258 t=2192
huo 	或	c=1 d=1 t=1675
huo dong 	活動	c=0 d=0.1 t=2438
huo dong ne 	活動呢	c=1 d=1 t=2439
huo qu 	獲取	c=2 d=1.72615 t=1627
huo zhe 	或者	c=2 d=1.18177 t=2062
ji 	級	c=1 d=1 t=2013
ji bie 	級別	c=1 d=1 t=2008
ji chu shang 	基礎上	c=0 d=0.1 t=2135
ji ci 	幾次	c=1 d=0.108067 t=2499
ji dian 	幾點	c=1 d=0.551581 t=1447
ji dian mian shi 	幾點面試	c=1 d=1 t=1448
ji diao 	基調	c=0 d=0.1 t=1286
ji diao yao le 	基調搖了	c=1 d=1 t=1287
ji ge 	幾個	c=2 d=0.0776167 t=2499
ji ge ren 	幾個人	c=1 d=1 t=1462
ji hang 	幾行	c=1 d=1 t=1698
ji ke 	即可	c=3 d=0.574072 t=2499
ji lu 	記錄	c=1 d=0.00412941 t=2499
ji lu yi xia 	記錄一下	c=1 d=0.0303487 t=2499
ji neng 	技能	c=2 d=1.94649 t=2048
ji qiao 	技巧	c=1 d=0.657047 t=2499
ji tuan 	集團	c=0 d=0.1 t=2154
ji wan 	幾萬	c=0 d=0.0172907 t=2499
ji xian 	基線	c=2 d=1.50916 t=1230
ji xie yun dong 	機械運動	c=1 d=1 t=2035
ji xu 	繼續	c=0 d=0.1 t=1118
ji xu gai 	繼續改	c=1 d=1 t=1119
ji yu 	基於	c=4 d=3.37133 t=2232
ji zhu le 	記住了	c=0 d=0.1 t=1303
jia 	加	c=2 d=0.567771 t=2499
jia 	家	c=0 d=0.0767206 t=2499
jia ge 	加個	c=3 d=0.0495388 t=2499
jia shang 	加上	c=0 d=0.0140156 t=2499
jia shang kai guan 	加上開關	c=1 d=0.140858 t=2499
jia zai 	加載	c=1 d=1 t=1343
jia zhe ge 	加這個	c=2 d=1.98511 t=1727
jian ce 	檢測	c=3 d=1.59209 t=1392
jian ge 	間隔	c=1 d=1 t=1125
jian lou 	簡陋	c=1 d=1 t=1188
jian xie 	間歇	c=1 d=1 t=1308
jian zhuang 	簡裝	c=1 d=1 t=1183
jiang shi 	殭屍	c=0 d=0.0737123 t=2499
jiao ben 	腳本	c=1 d=1 t=2217
jie duan 	階段	c=1 d=1 t=1818
jie hun 	結婚	c=0 d=0.1 t=1659
jie hun ri zi 	結婚日子	c=1 d=1 t=1660
jie jue 	解決	c=3 d=0.860708 t=2499
jie kou 	接口	c=1 d=0.0490458 t=2499
jie ru 	接入	c=5 d=1.59224 t=2499
jie ru yi ge 	接入一個	c=1 d=0.557106 t=2499
jie shu 	結束	c=1 d=1 t=1718
jie wei 	結尾	c=1 d=1 t=1918
jin 	僅	c=1 d=1 t=2220
jin 	勁	c=1 d=1 t=1966
jin cheng 	進程	c=1 d=1 t=2442
jin dao 	進到	c=1 d=0.0270518 t=2499
jin nian 	今年	c=2 d=1.39259 t=1680
jin qu 	進去	c=4 d=0.913931 t=2499
jin qu le 	進去了	c=1 d=1 t=2281
jin ru 	進入	c=1 d=1 t=2388
jin tian 	今天	c=1 d=1 t=1606
jin xing 	進行	c=1 d=1.00057 t=2416
jin zhi 	禁止	c=1 d=1 t=1369
jing tai 	靜態	c=1 d=1 t=1249
jing yan 	經驗	c=1 d=1 t=1025
jiu 	就	c=8 d=1.39659 t=2499
jiu bu 	就不	c=0 d=0.1 t=2424
jiu bu ke yong le 	就不可用了	c=1 d=1 t=2473
jiu bu xing le 	就不行了	c=1 d=1 t=1988
jiu bu yong 	就不用	c=2 d=1.44486 t=1890
jiu de 	舊的	c=1 d=1 t=1994
jiu hai hao 	就還好	c=1 d=0.484325 t=2499
jiu hao 	就好	c=1 d=0.594521 t=2499
jiu hao le 	就好了	c=1 d=0.0944202 t=2499
jiu ji zhu le 	就記住了	c=1 d=1 t=1304
jiu mei 	就沒	c=0 d=0.00520787 t=2499
jiu mei cheng gong 	就沒成功	c=1 d=0.0523397 t=2499
jiu mei you 	就沒有	c=1 d=1 t=2310
jiu shi 	就是	c=10 d=1.76748 t=2499
jiu xian 	就先	c=0 d=0.1 t=1211
jiu xian bu mai le 	就先不賣了	c=1 d=1 t=1212
jiu xing 	就行	c=3 d=0.884353 t=2499
jiu xing le 	就行了	c=2 d=0.748264 t=2499
jiu zhe 	就這	c=0 d=0.1 t=1567
jiu zhe yi ge 	就這一個	c=1 d=1 t=1568
jiu zhi dao le 	就知道了	c=1 d=1 t=1274
ju ti 	具體	c=1 d=1 t=1126
ju zhu 	居住	c=1 d=0.0131675 t=2499
jue ding 	決定	c=1 d=1 t=1236
jue dui 	絕對	c=0 d=0.1 t=2378
jue dui lu jing 	絕對路徑	c=1 d=1 t=2379
jue xing 	覺醒	c=0 d=0.00319048 t=2499
jue xing le 	覺醒了	c=1 d=0.0320647 t=2499
kai 	開	c=1 d=1 t=2191
kai fa 	開發	c=5 d=1.9842 t=2499
kai fa dan 	開罰單	c=1 d=0.0169075 t=2499
kai guan 	開關	c=0 d=0.0140156 t=2499
kai qi 	開啓	c=1 d=1 t=1387
kai shi 	開始	c=1 d=1 t=1466
kai tou 	開頭	c=1 d=0.162838 t=2499
kan 	看	c=9 d=1.97733 t=2499
kan ba 	看吧	c=1 d=0.955997 t=2499
kan bu chu 	看不出	c=1 d=1 t=1435
kan bu qing 	看不清	c=1 d=1 t=2050
kan bu shang 	看不上	c=1 d=1 t=1516
kan cuo le 	看錯了	c=2 d=1.57407 t=2426
kan dai ma 	看代碼	c=1 d=1 t=2201
kan de 	看得	c=1 d=1 t=2317
kan ge 	看個	c=0 d=0.1 t=2487
kan jiu xing 	看就行	c=1 d=1 t=1245
kan kan 	看看	c=7 d=0.45671 t=2499
kan lai 	看來	c=0 d=0.1 t=2260
kan lai hai shi 	看來還是	c=1 d=1 t=2261
kan le 	看了	c=1 d=1 t=1438
kan le xia 	看了下	c=0 d=0.00713613 t=2499
kan ta 	看他	c=1 d=0.240508 t=2499
kan ta de 	看他的	c=1 d=0.236928 t=2499
kan wan le 	看完了	c=0 d=0.1 t=1428
kan xia 	看下	c=1 d=0.618783 t=2499
kan yang zi 	看樣子	c=1 d=0.946485 t=2499
kan zhe 	看着	c=3 d=0.329714 t=2499
kan zhuang bei 	看裝備	c=1 d=1 t=2109
kao bei 	拷貝	c=6 d=0.644036 t=2499
kao ping 	考評	c=0 d=0.00658748 t=2499
kao pu 	靠譜	c=1 d=0.0665368 t=2499
ke 	可	c=1 d=1 t=1257
