# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2592
#@/user_id	mac
a 	啊	c=3 d=0.191072 t=2592
cha 	差	c=0 d=0.1 t=2592
cha jian 	插件	c=14 d=3.57911 t=2592
cha kan 	查看	c=1 d=1 t=2592
cha wan 	茶碗	c=0 d=0.1 t=2592
cha yi 	差異	c=1 d=0.045502 t=2592
cha zhuang 	茶莊	c=1 d=1 t=2592
chai cheng 	拆成	c=1 d=1 t=2592
chan sheng 	產生	c=1 d=1 t=2592
chang 	場	c=2 d=1.63763 t=2592
chang du 	長度	c=1 d=1.09501 t=2592
chang qi 	長期	c=1 d=1 t=2592
chang shi 	嘗試	c=1 d=1 t=2592
cheng 	成	c=3 d=1.00824 t=2592
cheng ben 	成本	c=1 d=1 t=2592
cheng gong 	成功	c=3 d=0.134588 t=2592
cheng xu 	程序	c=0 d=0.1 t=2592
chi de 	喫的	c=2 d=1.81421 t=2592
chong fu 	重複	c=2 d=0.170868 t=2592
chong qing 	重慶	c=1 d=1 t=2592
chong tu 	衝突	c=2 d=1.97045 t=2592
chong xie 	重寫	c=1 d=0.0987662 t=2592
chou qu 	抽取	c=1 d=1 t=2592
chu 	出	c=2 d=0.092089 t=2592
chu 	楚	c=2 d=1 t=2592
chu bao 	出包	c=1 d=0.982497 t=2592
chu bao liu cheng 	出包流程	c=1 d=1 t=2592
chu bu lai 	出不來	c=1 d=1 t=2592
chu de 	出的	c=1 d=0.0263839 t=2592
chu fei 	除非	c=1 d=0.0174224 t=2592
chu lai 	出來	c=0 d=0.088692 t=2592
chu lai le 	出來了	c=0 d=0.1 t=2592
chu lai le mou 	出來了某	c=1 d=1 t=2592
chu shou 	出售	c=1 d=1 t=2592
chu xian 	出現	c=1 d=0.447088 t=2592
chu zhong 	初中	c=0 d=0.0697676 t=2592
chuan 	傳	c=0 d=0.1 t=2592
chuan gei 	傳給	c=1 d=1 t=2592
chuan ru 	傳入	c=2 d=1.52729 t=2592
chuang dian 	牀墊	c=1 d=0.0301974 t=2592
chuang jian 	創建	c=3 d=0.646993 t=2592
chun 	純	c=0 d=0.1 t=2592
chun se 	純色	c=1 d=1 t=2592
chun su zhu 	純宿主	c=2 d=1.85642 t=2592
ci ci 	此次	c=1 d=1 t=2592
cong 	從	c=4 d=1.80144 t=2592
cui 	崔	c=1 d=1 t=2592
cui ge 	崔哥	c=1 d=1 t=2592
cun zai 	存在	c=1 d=0.0755784 t=2592
cuo le 	錯了	c=1 d=0.0558548 t=2592
cuo wu 	錯誤	c=1 d=1 t=2592
da 	打	c=3 d=0.104763 t=2592
da bao 	打包	c=3 d=0.549145 t=2592
da bao ming ling le 	打包命令了	c=1 d=1 t=2592
da bu jin qu 	打不進去	c=1 d=0.0735345 t=2592
da bu lai 	打不來	c=1 d=1 t=2592
da duan 	打斷	c=0 d=0.0529935 t=2592
da duan dian 	打斷點	c=1 d=0.532592 t=2592
da jian 	搭建	c=0 d=0.1 t=2592
da jian zhong 	搭建中	c=1 d=1 t=2592
da kai 	打開	c=1 d=0.822835 t=2592
da ru 	打入	c=0 d=0.00561348 t=2592
da ta 	打他	c=1 d=1 t=2592
da yin 	打印	c=4 d=1.71377 t=2592
da zhan 	大戰	c=0 d=0.0737123 t=2592
dai 	帶	c=3 d=0.63404 t=2592
dai 	待	c=1 d=1 t=2592
dai hui 	待會	c=1 d=1 t=2592
dai le 	帶了	c=0 d=0.00428521 t=2592
dai ma 	代碼	c=10 d=0.981549 t=2592
dai mao hao 	帶冒號	c=1 d=0.257947 t=2592
dan chun 	單純	c=2 d=0.0187793 t=2592
dan du 	單獨	c=1 d=0.0205478 t=2592
dan shi 	但是	c=9 d=1.46587 t=2592
dan yuan 	單元	c=3 d=1.59532 t=2592
dang qian 	當前	c=2 d=1.02399 t=2592
dao 	到	c=3 d=0.0891366 t=2592
dao guo 	到過	c=0 d=0.00620385 t=2592
dao le 	到了	c=0 d=0.00699482 t=2592
dao shi 	倒是	c=2 d=1.13909 t=2592
dao shi hou 	到時候	c=1 d=0.214381 t=2592
dao ti 	道題	c=1 d=1 t=2592
dao yi ge 	到一個	c=1 d=1 t=2592
dao zhi 	導致	c=2 d=0.292293 t=2592
de 	的	c=124 d=13.2391 t=2592
de bing 	得病	c=0 d=0.1 t=2592
de guo cheng 	的過程	c=1 d=1 t=2592
de hua 	的話	c=2 d=0.121012 t=2592
de kou yin 	的口音	c=1 d=1 t=2592
de ya 	的呀	c=1 d=1 t=2592
de yan se 	的顏色	c=0 d=0.0752014 t=2592
dei 	得	c=0 d=0.00177743 t=2592
dei dao 	得到	c=1 d=0.873716 t=2592
dei kan 	得看	c=1 d=0.0219278 t=2592
deng 	等	c=4 d=2.55461 t=2592
deng xia 	等下	c=1 d=1 t=2592
di er ci 	第二次	c=2 d=0.128735 t=2592
di le 	低了	c=1 d=0.843665 t=2592
di ping 	地平	c=1 d=1.06557 t=2592
di si tiao 	第四條	c=1 d=1 t=2592
di yi bu 	第一步	c=1 d=1 t=2592
di yi ci 	第一次	c=2 d=0.155055 t=2592
dian 	點	c=1 d=0.962362 t=2592
dian ji 	點擊	c=0 d=0.1 t=2592
dian ji shi jian 	點擊事件	c=1 d=1 t=2592
dian nao 	電腦	c=1 d=0.0478762 t=2592
dian zi 	墊子	c=1 d=0.0323869 t=2592
diao 	掉	c=1 d=1.04561 t=2592
diao yan 	調研	c=1 d=1 t=2592
diao yong 	調用	c=1 d=0.0485578 t=2592
die 	跌	c=0 d=0.0045502 t=2592
ding le 	定了	c=0 d=0.1 t=2592
ding le ma 	定了嗎	c=1 d=1 t=2592
ding wei 	定位	c=1 d=0.737123 t=2592
ding zhi hua 	定製化	c=1 d=1 t=2592
dong 	動	c=0 d=0.1 t=2592
dong ma 	動嗎	c=1 d=0.873716 t=2592
dong tai 	動態	c=3 d=1.37374 t=2592
dong xi 	東西	c=3 d=1.02541 t=2592
dou 	都	c=4 d=1.23128 t=2592
dou bu hao 	都不好	c=1 d=0.0884781 t=2592
dou bu hui 	都不會	c=0 d=0.0160414 t=2592
dou cong 	都從	c=1 d=0.0792617 t=2592
dou hui 	都會	c=1 d=0.0295994 t=2592
dou mei 	都沒	c=0 d=0.0843665 t=2592
dou mei gan jue 	都沒感覺	c=1 d=0.847894 t=2592
dou mei you 	都沒有	c=1 d=1 t=2592
dou she zhi wei 	都設置爲	c=1 d=1 t=2592
dou shi 	都是	c=4 d=0.179796 t=2592
dou yin 	抖音	c=10 d=4.20631 t=2592
dou yin wei sha 	抖音爲啥	c=1 d=1 t=2592
dou you 	都有	c=1 d=1 t=2592
dou zai 	都在	c=1 d=0.479505 t=2592
dou zai zhe 	都在這	c=1 d=0.863379 t=2592
dou zai zhe ge 	都在這個	c=1 d=1 t=2592
du 	都	c=1 d=1 t=2592
du li 	獨立	c=3 d=0.348901 t=2592
du qu 	讀取	c=2 d=1.14734 t=2592
duan 	斷	c=0 d=0.1 t=2592
duan bu zhu 	斷不住	c=1 d=1 t=2592
duan dian 	斷點	c=0 d=0.0194952 t=2592
duan dian le 	斷點了	c=1 d=0.19593 t=2592
dui 	對	c=6 d=0.612993 t=2592
dui le 	對了	c=1 d=0.547088 t=2592
dui shang 	對上	c=0 d=0.0101774 t=2592
dui ta 	對他	c=1 d=1 t=2592
dui ying 	對應	c=1 d=0.171187 t=2592
dui yu 	對於	c=1 d=1 t=2592
duo 	多	c=1 d=0.778801 t=2592
duo chu lai 	多出來	c=0 d=0.1 t=2592
duo chu lai le 	多出來了	c=1 d=1 t=2592
duo duo 	多多	c=0 d=0.1 t=2592
duo ge 	多個	c=1 d=1 t=2592
duo jiu 	多久	c=2 d=1.94176 t=2592
duo na 	多拿	c=1 d=1 t=2592
duo shao 	多少	c=3 d=0.28274 t=2592
duo xian cheng 	多線程	c=1 d=0.113608 t=2592
duo xie 	多謝	c=1 d=0.112478 t=2592
e lie 	惡劣	c=1 d=0.0328764 t=2592
e wai 	額外	c=0 d=0.1 t=2592
e wai zuo sha 	額外做啥	c=1 d=1 t=2592
en 	嗯	c=8 d=5.61227 t=2592
en 	恩	c=35 d=4.45147 t=2592
en en 	嗯嗯	c=17 d=1.75871 t=2592
en ne 	恩呢	c=1 d=0.0284388 t=2592
er 	二	c=1 d=0.054204 t=2592
er tong jie 	兒童節	c=1 d=0.0812682 t=2592
fa 	發	c=4 d=0.409763 t=2592
fa chu qu 	發出去	c=1 d=0.242926 t=2592
fa dao 	發到	c=1 d=0.0804596 t=2592
fa wo kan kan 	發我看看	c=1 d=0.0502874 t=2592
fa xian 	發現	c=3 d=0.786797 t=2592
fa xian ni gai le 	發現你改了	c=1 d=0.0720785 t=2592
fan bian yi 	反編譯	c=1 d=1 t=2592
fan er 	反而	c=0 d=0.00274607 t=2592
fan er a 	反而啊	c=1 d=0.0275983 t=2592
fan hui 	返回	c=2 d=1.87372 t=2592
fan wei 	範圍	c=1 d=0.416862 t=2592
fan yi 	翻譯	c=1 d=0.109005 t=2592
fan yi yi xia 	翻譯一下	c=1 d=1 t=2592
fan zheng 	反正	c=2 d=1.73345 t=2592
fang an 	方案	c=1 d=1 t=2592
fang an fen 	方案分	c=1 d=0.66034 t=2592
fang fa 	方法	c=1 d=0.66365 t=2592
fang mian 	方面	c=1 d=1 t=2592
fang song 	放鬆	c=1 d=1 t=2592
fang xiang 	方向	c=1 d=1 t=2592
fei diao 	廢掉	c=0 d=0.00858632 t=2592
fei diao le 	廢掉了	c=1 d=0.0862936 t=2592
fen 	分	c=0 d=0.0657047 t=2592
fen bie 	分別	c=2 d=0.718861 t=2592
fen dan 	分擔	c=0 d=0.00642483 t=2592
fen dan gong zuo le 	分擔工作了	c=1 d=0.0645703 t=2592
fen ge 	分割	c=2 d=1.94176 t=2592
fen zhi 	分支	c=2 d=0.225872 t=2592
fu hao 	符號	c=2 d=1.03371 t=2592
fu he 	符合	c=2 d=1.68729 t=2592
fu he 	複合	c=1 d=0.946485 t=2592
fu ze 	負責	c=2 d=1.01553 t=2592
fu zhi 	複製	c=0 d=0.1 t=2592
fu zhi yi xia 	複製一下	c=1 d=1 t=2592
gai 	改	c=4 d=2.88152 t=2592
gai de 	改得	c=2 d=0.8941 t=2592
gai dong 	改動	c=0 d=0.1 t=2592
gai le 	改了	c=0 d=0.0591978 t=2592
gai wei 	改爲	c=1 d=1 t=2592
gan jin 	趕緊	c=1 d=1 t=2592
gan jue 	感覺	c=4 d=1.76733 t=2592
gan nan 	甘南	c=0 d=0.1 t=2592
gang 	剛	c=0 d=0.0173774 t=2592
gang kai shi 	剛開始	c=1 d=1 t=2592
gang sheng 	繮繩	c=0 d=0.0172907 t=2592
gang sheng ji 	剛升級	c=1 d=0.174645 t=2592
gang sheng ji wan 	繮繩幾萬	c=1 d=0.173774 t=2592
gang zai 	剛在	c=0 d=0.1 t=2592
gang zai mang 	剛在忙	c=1 d=1 t=2592
gao 	搞	c=4 d=1.31787 t=2592
gao ba 	搞吧	c=1 d=0.0173355 t=2592
gao dao 	搞到	c=0 d=0.0786628 t=2592
gao dao su zhu 	搞到宿主	c=1 d=0.790571 t=2592
gao de 	搞得	c=2 d=0.123677 t=2592
gao ding 	搞定	c=1 d=0.0136366 t=2592
gao le 	高了	c=2 d=1 t=2592
gao wo 	告我	c=1 d=0.771052 t=2592
gao xia 	搞下	c=1 d=1 t=2592
gao yi ge 	搞一個	c=1 d=1.00137 t=2592
ge 	個	c=5 d=1.08351 t=2592
ge 	格	c=0 d=0.1 t=2592
ge 	歌	c=3 d=2.18887 t=2592
ge gan ge 	各幹各	c=3 d=2.98506 t=2592
ge ge 	各個	c=1 d=0.806541 t=2592
ge liao 	閣僚	c=1 d=0.88692 t=2592
ge na jiu 	歌那就	c=2 d=0.798516 t=2592
ge shu 	個數	c=1 d=1 t=2592
ge yi duan shi jian 	格一段時間	c=1 d=1 t=2592
ge yue 	個月	c=1 d=0.860708 t=2592
gei 	給	c=5 d=0.697871 t=2592
gei na 	給哪	c=1 d=0.718924 t=2592
gei wo 	給我	c=1 d=1 t=2592
gen 	跟	c=1 d=1 t=2592
gen ju 	根據	c=3 d=1.51602 t=2592
gen mu lu 	根目錄	c=1 d=0.524663 t=2592
gong cheng 	工程	c=5 d=0.915557 t=2592
gong ju 	工具	c=0 d=0.0115903 t=2592
gong ju lian 	工具鏈	c=3 d=0.359629 t=2592
gong neng 	功能	c=1 d=1 t=2592
gong si 	公司	c=0 d=0.1 t=2592
gong zuo 	工作	c=1 d=0.00642483 t=2592
gou jian 	構建	c=1 d=0.0214936 t=2592
gou jian le yi ci 	構建了一次	c=1 d=1 t=2592
gou wu 	購物	c=0 d=0.1 t=2592
gu ge 	谷歌	c=3 d=0.0460772 t=2592
gu ji 	估計	c=1 d=0.865022 t=2592
guan bi 	關閉	c=4 d=0.0702346 t=2592
guang biao 	光標	c=1 d=1 t=2592
gui hua an 	規劃案	c=0 d=0.00248475 t=2592
gui nv 	閨女	c=0 d=0.1 t=2592
guo 	過	c=1 d=0.472083 t=2592
guo cheng 	過程	c=3 d=1.0215 t=2592
guo le 	過了	c=1 d=0.0231676 t=2592
guo lv 	過濾	c=1 d=0.360595 t=2592
guo nei 	國內	c=1 d=0.0197421 t=2592
guo zhi hou 	過之後	c=1 d=0.0911727 t=2592
ha 	哈	c=1 d=1 t=2592
ha ha 	哈哈	c=12 d=1.96473 t=2592
ha ha ha 	哈哈哈	c=1 d=0.683861 t=2592
ha ha ha ha 	哈哈哈哈	c=0 d=0.1 t=2592
ha ha ha ha hao 	哈哈哈哈好	c=1 d=1 t=2592
ha shi 	哈市	c=0 d=0.1 t=2592
ha shi neng 	哈市能	c=1 d=1 t=2592
hai 	海	c=2 d=0.0250972 t=2592
hai 	還	c=1 d=1 t=2592
hai hao 	還好	c=0 d=0.0481909 t=2592
hai mei 	還沒	c=0 d=0.101357 t=2592
hai mei kan 	還沒看	c=1 d=0.0599047 t=2592
hai mei xia ban 	還沒下班	c=1 d=0.985112 t=2592
hai shi 	還是	c=10 d=2.47973 t=2592
hai yao 	還要	c=1 d=1 t=2592
hai you 	還有	c=1 d=0.0566989 t=2592
hai you ma 	還有嗎	c=1 d=1 t=2592
hai zi 	孩子	c=0 d=0.1 t=2592
han shu 	函數	c=2 d=1.01485 t=2592
hang 	行	c=6 d=0.366078 t=2592
hang shu ju 	行數據	c=1 d=1 t=2592
hao 	好	c=8 d=1.61446 t=2592
hao 	號	c=1 d=1 t=2592
hao ba 	好吧	c=4 d=0.395105 t=2592
hao de 	好的	c=2 d=0.680264 t=2592
hao hao 	好好	c=1 d=1 t=2592
hao kan ma 	好看嗎	c=1 d=0.71177 t=2592
hao lou 	號樓	c=3 d=1.56316 t=2592
hao qi 	好奇	c=0 d=0.1 t=2592
hao xiang 	好像	c=4 d=0.950755 t=2592
he 	和	c=8 d=0.761795 t=2592
he he 	呵呵	c=1 d=0.0309618 t=2592
he li 	合理	c=0 d=0.056836 t=2592
he li lo 	合理咯	c=1 d=0.571209 t=2592
he qi lai 	合起來	c=0 d=0.0683861 t=2592
he qi lai de 	合起來的	c=1 d=0.687289 t=2592
hen cai 	很菜	c=1 d=1 t=2592
hen hao ting 	很好聽	c=1 d=0.66034 t=2592
hen you 	很有	c=1 d=0.786628 t=2592
heng 	橫	c=1 d=0.57695 t=2592
heng pai 	橫排	c=1 d=1 t=2592
hong 	紅	c=0 d=0.00420036 t=2592
hong man heng 	紅蠻橫	c=1 d=0.0422141 t=2592
hong meng 	鴻蒙	c=9 d=0.412169 t=2592
hou 	後	c=2 d=1.28224 t=2592
hou mian 	後面	c=4 d=1.04615 t=2592
hou xu 	後續	c=4 d=0.107036 t=2592
hou zhui 	後綴	c=2 d=1.01278 t=2592
hu kou 	戶口	c=1 d=1 t=2592
hu xing 	戶型	c=1 d=1 t=2592
hua 	化	c=3 d=0.0555168 t=2592
hua de 	花的	c=1 d=1 t=2592
hua le 	花了	c=0 d=0.1 t=2592
hua shuo 	話說	c=1 d=0.2334 t=2592
hua tuo 	華佗	c=1 d=0.0528657 t=2592
huai yun 	懷孕	c=1 d=0.0824965 t=2592
huan cun 	緩存	c=1 d=0.110803 t=2592
huan jing 	環境	c=4 d=2.9458 t=2592
huang jin 	黃金	c=1 d=1 t=2592
hui 	回	c=1 d=1 t=2592
hui 	會	c=3 d=0.168989 t=2592
hui ba 	會把	c=1 d=0.0800583 t=2592
hui bu hui 	會不會	c=1 d=1 t=2592
hui bu hui shi 	會不會是	c=1 d=1 t=2592
hui diao 	回調	c=1 d=1 t=2592
hui fu 	回覆	c=1 d=0.0397558 t=2592
hui jin xing 	會進行	c=1 d=1 t=2592
hui you 	會有	c=1 d=0.120636 t=2592
hui you dian 	會有點	c=1 d=0.0833256 t=2592
hui you wen ti 	會有問題	c=1 d=0.0682212 t=2592
hun xiao 	混淆	c=6 d=4.90258 t=2592
huo 	或	c=1 d=1 t=2592
huo dong 	活動	c=0 d=0.1 t=2592
huo dong ne 	活動呢	c=1 d=1 t=2592
huo qu 	獲取	c=2 d=1.72615 t=2592
huo zhe 	或者	c=2 d=1.18177 t=2592
ji 	級	c=1 d=1 t=2592
ji bie 	級別	c=1 d=1 t=2592
ji chu shang 	基礎上	c=0 d=0.1 t=2592
ji ci 	幾次	c=1 d=0.108067 t=2592
ji dian 	幾點	c=1 d=0.551581 t=2592
ji dian mian shi 	幾點面試	c=1 d=1 t=2592
ji diao 	基調	c=0 d=0.1 t=2592
ji diao yao le 	基調搖了	c=1 d=1 t=2592
ji ge 	幾個	c=2 d=0.0487538 t=2592
ji ge ren 	幾個人	c=1 d=1 t=2592
ji hang 	幾行	c=1 d=1 t=2592
ji ke 	即可	c=3 d=0.574072 t=2592
ji lu 	記錄	c=1 d=0.00301974 t=2592
ji lu yi xia 	記錄一下	c=1 d=0.0303487 t=2592
ji neng 	技能	c=2 d=1.94649 t=2592
ji qiao 	技巧	c=1 d=0.657047 t=2592
ji tuan 	集團	c=0 d=0.1 t=2592
ji wan 	幾萬	c=0 d=0.0172907 t=2592
ji xian 	基線	c=2 d=1.50916 t=2592
ji xie yun dong 	機械運動	c=1 d=1 t=2592
ji xu 	繼續	c=0 d=0.1 t=2592
ji xu gai 	繼續改	c=1 d=1 t=2592
ji yu 	基於	c=4 d=3.37133 t=2592
ji zhu le 	記住了	c=0 d=0.1 t=2592
jia 	加	c=3 d=1.13544 t=2592
jia 	家	c=0 d=0.0767206 t=2592
jia ge 	加個	c=4 d=0.753647 t=2592
jia shang 	加上	c=0 d=0.0140156 t=2592
jia shang kai guan 	加上開關	c=1 d=0.140858 t=2592
jia zai 	加載	c=1 d=1 t=2592
jia zhe ge 	加這個	c=2 d=1.98511 t=2592
jian ce 	檢測	c=3 d=1.59209 t=2592
jian ge 	間隔	c=1 d=1 t=2592
jian lou 	簡陋	c=1 d=1 t=2592
jian ma 	減嗎	c=1 d=0.860708 t=2592
jian xie 	間歇	c=1 d=1 t=2592
jian zhuang 	簡裝	c=1 d=1 t=2592
jiang shi 	殭屍	c=0 d=0.0737123 t=2592
jiao ben 	腳本	c=1 d=1 t=2592
jie duan 	階段	c=1 d=1 t=2592
jie hun 	結婚	c=0 d=0.1 t=2592
jie hun ri zi 	結婚日子	c=1 d=1 t=2592
jie jue 	解決	c=3 d=0.860708 t=2592
jie kou 	接口	c=1 d=0.0490458 t=2592
jie lun 	結論	c=0 d=0.0794534 t=2592
jie ru 	接入	c=5 d=1.59224 t=2592
jie ru yi ge 	接入一個	c=1 d=0.557106 t=2592
jie shu 	結束	c=1 d=1 t=2592
jie wei 	結尾	c=1 d=1 t=2592
jin 	僅	c=1 d=1 t=2592
jin 	勁	c=1 d=1 t=2592
jin cheng 	進程	c=1 d=1 t=2592
jin dao 	進到	c=1 d=0.0270518 t=2592
jin nian 	今年	c=2 d=1.39259 t=2592
jin qu 	進去	c=4 d=0.913931 t=2592
jin qu le 	進去了	c=1 d=1 t=2592
jin ru 	進入	c=1 d=1 t=2592
jin tian 	今天	c=1 d=1 t=2592
jin xing 	進行	c=1 d=1.00057 t=2592
jin zhan 	進展	c=1 d=0.690734 t=2592
jin zhi 	禁止	c=1 d=1 t=2592
jing tai 	靜態	c=1 d=1 t=2592
jing yan 	經驗	c=1 d=1 t=2592
jiu 	就	c=8 d=0.877247 t=2592
jiu bu 	就不	c=0 d=0.1 t=2592
jiu bu ke yong le 	就不可用了	c=1 d=1 t=2592
jiu bu xing le 	就不行了	c=1 d=1 t=2592
jiu bu yong 	就不用	c=2 d=1.44486 t=2592
jiu de 	舊的	c=1 d=1 t=2592
jiu hai hao 	就還好	c=1 d=0.484325 t=2592
jiu hao 	就好	c=1 d=0.594521 t=2592
jiu hao le 	就好了	c=1 d=0.0944202 t=2592
jiu ji zhu le 	就記住了	c=1 d=1 t=2592
jiu mei 	就沒	c=0 d=0.00520787 t=2592
jiu mei cheng gong 	就沒成功	c=1 d=0.0523397 t=2592
jiu mei you 	就沒有	c=1 d=1 t=2592
jiu shi 	就是	c=10 d=1.11022 t=2592
jiu xian 	就先	c=0 d=0.1 t=2592
jiu xian bu mai le 	就先不賣了	c=1 d=1 t=2592
jiu xing 	就行	c=3 d=0.884353 t=2592
jiu xing le 	就行了	c=2 d=0.748264 t=2592
jiu zhe 	就這	c=0 d=0.1 t=2592
jiu zhe yi ge 	就這一個	c=1 d=1 t=2592
jiu zhi dao le 	就知道了	c=1 d=1 t=2592
ju ti 	具體	c=1 d=1 t=2592
ju zhu 	居住	c=1 d=0.0131675 t=2592
jue ding 	決定	c=1 d=1 t=2592
jue dui 	絕對	c=0 d=0.1 t=2592
jue dui lu jing 	絕對路徑	c=1 d=1 t=2592
jue xing 	覺醒	c=0 d=0.00319048 t=2592
jue xing le 	覺醒了	c=1 d=0.0320647 t=2592
kai 	開	c=1 d=1 t=2592
kai fa 	開發	c=5 d=1.9842 t=2592
kai fa dan 	開罰單	c=1 d=0.0169075 t=2592
kai guan 	開關	c=0 d=0.0140156 t=2592
kai qi 	開啓	c=1 d=1 t=2592
kai shi 	開始	c=1 d=1 t=2592
kai tou 	開頭	c=1 d=0.162838 t=2592
kan 	看	c=9 d=1.97733 t=2592
kan ba 	看吧	c=1 d=0.955997 t=2592
kan bu chu 	看不出	c=1 d=1 t=2592
kan bu qing 	看不清	c=1 d=1 t=2592
kan bu shang 	看不上	c=1 d=1 t=2592
